categories,count
Software Development,86
Healthcare,69
Data Analytics,68
Customer Service,34
Automation,33
Productivity,27
Cloud Computing,25
SaaS,24
Legal Tech,23
Chatbots,19
Biotech,18
Open Source,17
Marketing,17
Education,16
AI Tools,16
BI,15
AI Solutions,15
Fintech,14
NLP,14
Compliance,14
E-commerce,13
Enterprise Software,13
Dev Tools,13
Generative AI,12
Medical Technology,11
Cloud Services,11
Finance,11
Sales,11
Insurance,11
Data Management,11
Cybersecurity,10
Pharmaceuticals,10
Blockchain,10
Financial Services,10
