name,tagline,web_site,main_product_or_service,categories,web_domain
A2O,Transforming data into actionable insights,https://a2o.ai,AI-driven data analytics platform,AI | Data Analytics | Software Development,a2o.ai
AI CharFriend,Best NSFW AI Chat Characters For Free 🥵,https://www.charfriend.com,AI Chat Characters,AI | Chat | NSFW,charfriend.com
AI Squared,Accelerate the Delivery of Data and AI Insights into Your Business Applications,https://squared.ai,Data and AI Integration Platform,Data Integration | AI Solutions | ETL | Machine Learning,squared.ai
AI Supremacy,"News at the intersection of Artificial Intelligence, technology and business including Op-Eds, research summaries, guest contributions and valuable info about A.I. startups.",https://substack.com,Information and news about AI startups,AI | Technology | Business,substack.com
AI Supremacy,Empowering the Future with AI Solutions,https://ai-supremacy.com,AI-driven analytics and automation tools,AI | Software Development | Data Analytics,ai-supremacy.com
AI Town,Building the future of AI communities,https://convex.dev,AI community platform,Technology | AI | Community Building,convex.dev
AI for Good,Accelerating the United Nations Sustainable Development Goals,https://aiforgood.itu.int/,"Global Summit promoting AI for health, climate, gender, and sustainable development",AI | Sustainable Development | Health | Climate | Gender | Technology,aiforgood.itu.int
AI2 Incubator,We’re your AI-first to help get it done,https://ai2incubator.com,Support for AI-first startups,Incubator | AI | Startup Support,ai2incubator.com
AI21 Labs,Reliable Generative AI for the Enterprise,https://studio.ai21.com,Generative AI solutions for enterprises,AI | Enterprise Software | Technology,ai21.com
AIAgent.app,Power Up Your Productivity,https://aigent.app,"A web app that makes choices and performs tasks on its own, based on the goals set by you.",Productivity | AI | Web App,aigent.app
AIBL,Leading the way in Alzheimer’s disease research,https://aibl.org.au/,Alzheimer’s disease research,Healthcare | Research | Biotech,aibl.org.au
AIBL,Artificial Intelligence for Better Living,https://aibl.csiro.au,AI-driven solutions for various industries,AI | Technology | Research | Healthcare,aibl.csiro.au
AIRS Medical Inc.,AI-Powered MRI Enhancement Solution,https://airsmed.com/en/,SwiftMR™,Healthcare | Medical Technology | AI,airsmed.com
AITRICS,Vitalize Healthcare with AI,https://aitrics.com,AI-based healthcare solutions,Healthcare | AI | Technology,aitrics.com
AIsphere,Empowering businesses with AI-driven solutions,https://aisphere.tech,AI-powered analytics platform,AI | Data Analytics | Software Development,aisphere.tech
AKASA,Generative AI for Healthcare and Revenue Cycle,https://akasa.com,Generative AI solutions for healthcare revenue cycle,Healthcare | AI | Revenue Cycle Management,akasa.com
APIsec,Automate API Security Testing,https://www.apisec.ai,API Security Testing,Security | Software | API,apisec.ai
Abacus.AI,Effortlessly Embed Cutting Edge AI In Your Applications.,https://abacus.ai,AI Super Assistant and Enterprise AI Platform,AI | Machine Learning | Software Development | Enterprise Solutions,abacus.ai
Abridge,Generative AI for Clinical Conversations,https://www.abridge.com,AI platform for clinical conversations,Healthcare | AI | Technology,abridge.com
Absci,Creating drugs at the speed of AI,https://www.absci.com,Generative AI drug creation,Biotech | Pharmaceuticals | AI,absci.com
Accucrazy,NextGen AI Marketing Agency,https://www.accucrazy.com/,Digital Marketing Services,Digital Marketing | AI Marketing | Web3 | Advertising,accucrazy.com
Ada,The AI-powered customer service platform,https://ada.cx,Automated customer service solutions,AI | Customer Service | Software as a Service (SaaS),ada.cx
Ada,Automate customer interactions with AI.,https://ada.support,AI-powered customer service automation,AI | Customer Service | Chatbots | Software | Technology,ada.support
Ada Health,AI-powered symptom assessment optimized by clinicians.,https://ada.com,Symptom assessment app,Health Tech | AI | Healthcare,ada.com
Adept,Building a generally intelligent copilot for knowledge workers.,https://www.adept.ai/blog/fuyu-8b,Fuyu-8B multimodal model,AI | Machine Learning | Software Development,adept.ai
Adeptmind,AI Guided Discovery,https://adeptmind.ai,AI Conversational Guided Discovery,AI | Ecommerce | Retail Technology,adeptmind.ai
Affinda,Automate your document processing workflows with AI.,https://www.affinda.com/,Document AI platform,Recruitment | Lending | Insurance | Business Process Outsourcing,affinda.com
Afforai,AI-Powered Solutions for Business Growth,https://afforai.com,AI-driven business analytics and insights,AI | Business Analytics | Software Development,afforai.com
Again Faster,Pursue Your Evolution,https://www.againfaster.com,Functional fitness equipment,Fitness | Health | Sports,againfaster.com
Aggregate Intellect,AI-powered Business Workflow Augmentation / Automation,http://www.ai.science,Platforms for business workflow augmentation using AI,AI | Business Automation | Workflow Management,ai.science
Aiagent.app,AI-powered customer support solutions,https://aiagent.app,AI-driven customer support chatbot,AI | Customer Service | SaaS,aiagent.app
Aidoc,Always-on AI,https://www.aidoc.com,Clinical AI solutions for healthcare,Healthcare | AI | Clinical Solutions,aidoc.com
Air Street Capital,AI investor and venture capital firm,https://www.airstreet.com/portfolio,Investment in AI startups,Venture Capital | Investment | AI,airstreet.com
Airbnb.org,Helping displaced individuals find shelter.,https://www.airbnb.org/,"Housing support for displaced individuals, refugees, and relief workers.",Nonprofit | Housing | Disaster Relief,airbnb.org
Airbyte,Open-Source Data Movement for LLMs,https://airbyte.com,Open-source data integration engine,Data Integration | Open Source | AI | Data Engineering,airbyte.com
Airtable,The platform to build next‒gen apps,https://airtable.com,Next-gen app-building platform,Platform | App Building | AI | Connected Data | Governance and Scale,airtable.com
Aisera,Agentic AI Copilot for the Enterprise,https://aisera.com,AI Copilot,AI | Enterprise Software | Customer Experience | Employee Experience,aisera.com
Aivo,Automate outstanding customer experiences,https://www.aivo.co/,Conversational AI for customer service and sales automation,Conversational AI | Customer Service | Sales Automation,aivo.co
Aleph Alpha,AI for Enterprises and Governments,https://aleph-alpha.com/,Generative AI technology for businesses and governments,Technology | AI | Enterprise Solutions,aleph-alpha.com
Algolia,AI search that understands,https://www.algolia.com/,AI Search Suite,Retail Ecommerce | B2B Ecommerce | Marketplaces | Media | SaaS,algolia.com
Algorithmic Justice League,Unmasking AI harms and biases,https://www.ajlunited.org/,Advocacy for equitable and accountable AI,Technology | Social Justice | Non-profit,ajlunited.org
Algorithmic Justice League,"Fighting bias in AI through research, advocacy, and community building.",https://ajl.org,Research and advocacy for equitable AI systems,AI | Social Justice | Technology | Non-profit,ajl.org
Alibaba Mail,Your trusted email service provider,https://www.aliyun.com,Email services and cloud computing solutions,Email Services | Cloud Computing | Technology,aliyun.com
Allora Network,Allora is self-improving decentralized intelligence built by the community.,https://allora.network,Decentralized AI network,AI | Blockchain | Decentralized Systems | AI | Crypto | Decentralized Finance,allora.network
AlphaSense,The Market Intelligence Platform for Business,https://www.alpha-sense.com,AI-powered market intelligence and search platform,AI | Market Research | BI | Financial Services | Technology | Information Services,alpha-sense.com
Alphasense,Industry-Leading Air Quality Sensors for Fixed & Portable Gas Detection Systems.,https://www.alphasense.com,Gas Sensors & Air Quality Monitors,Environmental Monitoring | Gas Detection | Air Quality Monitoring,alphasense.com
Altair Engineering Inc,"Altair Engineering offers software and cloud solutions for simulation, high-performance computing, data analytics, and AI across varied sectors.",https://altair.com,"Software and cloud solutions for simulation, high-performance computing, data analytics, and AI.",Information Technology | Software,altair.com
Altera,Building Digital Humans,https://altera.al,Digital human beings that can play video games,AI | Gaming | Technology,altera.al
Altrove,AI-driven solutions for smarter decision-making,https://altrove.ai,AI analytics platform,AI | Data Analytics | Software Development,altrove.ai
Amazon,Earth's most customer-centric company,https://aboutamazon.com,"E-commerce, Cloud Computing, Digital Streaming, AI",E-commerce | Cloud Computing | Digital Streaming | AI,aboutamazon.com
Amazon Bedrock,Build and scale generative AI applications with ease.,https://aws.amazon.com/bedrock/,Generative AI service,Cloud Computing | AI | Machine Learning | Kubernetes,aws.amazon.com
Ambience Healthcare,Leading AI operating system for healthcare,https://ambiencehealthcare.com/,AI operating system for healthcare,Healthcare | AI | Software,ambiencehealthcare.com
Amplify.ai,The world leader in Trusted Conversational Commerce,https://amplify.ai/,AI-driven Conversational AI marketing SaaS solution,Conversational AI | Marketing | SaaS | E-commerce | Political Organizations,amplify.ai
Android Developers,Your AI development companion for Android development.,https://developer.android.com/,Android development tools and resources,Mobile Development | Software Development | Dev Tools,developer.android.com
Anomalo,Automated AI Data Quality Software,https://www.anomalo.com/,Automated data quality monitoring platform,Data Quality | AI | Software,anomalo.com
Anthropic,AI safety and research company,https://www.anthropic.com,Claude AI,AI | Machine Learning | AI Safety,anthropic.com
Anything-LLM,Empowering Conversations with AI,https://anythingllm.com,AI-powered conversational platform,AI | Software | Technology | Machine Learning | Software Development,anythingllm.com
Anytime AI,The Premier AI Legal Assistant for Plaintiff Lawyers,https://www.anytimeai.ai,AI legal assistant for plaintiff lawyers,Legal Tech | AI | SaaS,anytimeai.ai
Aporia,Deliver Reliable and Secure AI,https://www.aporia.com/,AI Guardrails and Observability,AI Security | AI Reliability | AI Observability,aporia.com
Applied Artificial Intelligence Lab (A2I),Innovating with AI for a smarter future,https://twitter.com,AI-driven solutions and research,AI | Technology | Research and Development,twitter.com
